,host,time,http,URL,version,status,bytes
44,dd11-012.compuserve.com,01/Jul/1995:02:32:31-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
45,scooter.pa-x.dec.com,01/Jul/1995:02:38:25-0400,GET,/de/systems.html,HTTP/1.0,404,-
46,jericho3.microsoft.com,01/Jul/1995:03:19:38-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
47,dialup-68.icon-stl.net,01/Jul/1995:03:30:22-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
48,202.6.90.68,01/Jul/1995:03:41:37-0400,GET,/ads/eds2_ad.gif,HTTP/1.0,404,-
49,202.6.90.68,01/Jul/1995:03:42:18-0400,GET,"/misc/home.map?44,104",HTTP/1.0,404,-
50,202.6.90.68,01/Jul/1995:03:42:33-0400,GET,"/misc/home.map?44,104",HTTP/1.0,404,-
51,202.6.90.68,01/Jul/1995:03:43:26-0400,GET,/Business/,HTTP/1.0,404,-
52,202.6.90.68,01/Jul/1995:03:43:42-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
53,202.6.90.68,01/Jul/1995:03:44:59-0400,GET,/Titles?qt=nasa,HTTP/1.0,404,-
54,202.6.90.68,01/Jul/1995:03:45:06-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
55,202.6.90.68,01/Jul/1995:03:45:29-0400,GET,/images/home_igloo.gif,HTTP/1.0,404,-
56,202.6.90.68,01/Jul/1995:03:45:29-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
57,202.6.90.68,01/Jul/1995:03:45:56-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
58,202.6.90.68,01/Jul/1995:03:46:04-0400,GET,/Titles?qt=nasa,HTTP/1.0,404,-
59,202.6.90.68,01/Jul/1995:03:48:31-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
60,slip-d8.rdrop.com,01/Jul/1995:03:52:46-0400,GET,/count.gif,,404,-
61,202.33.84.251,01/Jul/1995:03:57:41-0400,GET,/://spacelink.msfc.nasa.gov,HTTP/1.0,404,-
62,godzilla.zeta.org.au,01/Jul/1995:04:02:19-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
63,202.33.84.230,01/Jul/1995:04:04:41-0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,HTTP/1.0,404,-
64,line02.pm1.abb.mindlink.net,01/Jul/1995:04:17:21-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
65,n00106-104afc.unity.ncsu.edu,01/Jul/1995:04:21:37-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
66,203.253.253.70,01/Jul/1995:04:23:33-0400,GET,/shuttle/missions/sts-86/mission-sts-86.html,HTTP/1.0,404,-
67,scooter.pa-x.dec.com,01/Jul/1995:04:39:27-0400,GET,/shuttle/missions/sts-63/sts-63-press-kit.tx,HTTP/1.0,404,-
68,ppp-ftl1-71.shadow.net,01/Jul/1995:04:45:10-0400,GET,/shuttle/missions/sts-65/sts-65-day-04-highlights.html,HTTP/1.0,404,-
69,scooter.pa-x.dec.com,01/Jul/1995:04:48:20-0400,GET,/facts/announce.html,HTTP/1.0,404,-
70,ix-ren-nv1-10.ix.netcom.com,01/Jul/1995:04:50:26-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
71,ix-ren-nv1-10.ix.netcom.com,01/Jul/1995:04:51:16-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
72,j09.kl2.jaring.my,01/Jul/1995:05:21:50-0400,GET,/shuttle/missions/sts-71/ksc-status-06-05-95.txt,HTTP/1.0,404,-
73,dialup96-070.swipnet.se,01/Jul/1995:05:39:16-0400,GET,/.pub.win3.winvn,HTTP/1.0,404,-
74,an1.aros.net,01/Jul/1995:05:44:30-0400,GET,/software/winvn/winvn.html.,HTTP/1.0,404,-
75,umslts1_6.umsl.edu,01/Jul/1995:05:47:57-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
76,umslts1_6.umsl.edu,01/Jul/1995:05:48:06-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
77,dns.modena.it,01/Jul/1995:05:55:03-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
78,an1.aros.net,01/Jul/1995:05:56:48-0400,GET,/software/winvn/winvn.html.,HTTP/1.0,404,-
79,an1.aros.net,01/Jul/1995:05:57:03-0400,GET,/software/winvn/winvn.html.,HTTP/1.0,404,-
80,an1.aros.net,01/Jul/1995:05:57:23-0400,GET,/software/winvn/winvn.html.,HTTP/1.0,404,-
81,ad08-025.compuserve.com,01/Jul/1995:06:09:26-0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,HTTP/1.0,404,-
82,scooter.pa-x.dec.com,01/Jul/1995:06:18:39-0400,GET,/people/nasa-cm/jmd.html,HTTP/1.0,404,-
83,reggae.iinet.net.au,01/Jul/1995:06:23:20-0400,GET,/software/techdoc/td-2.3.html,HTTP/1.0,404,-
84,scooter.pa-x.dec.com,01/Jul/1995:06:36:33-0400,GET,/shuttle/missions/61-b/mission-61.b.html,HTTP/1.0,404,-
85,133.54.246.57,01/Jul/1995:07:13:57-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
86,133.54.246.57,01/Jul/1995:07:14:08-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
87,sol.zynet.co.uk,01/Jul/1995:08:09:46-0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,HTTP/1.0,404,-
88,slip2.wave.sheridan.wy.us,01/Jul/1995:08:20:27-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
89,slip2.wave.sheridan.wy.us,01/Jul/1995:08:20:34-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
90,204.248.154.1,01/Jul/1995:08:44:23-0400,GET,/news/sci.space.shuttle/archive/sci-space-shuttle-9-aug-1994-62.txt,HTTP/1.0,404,-
91,204.248.154.1,01/Jul/1995:08:44:52-0400,GET,/news/sci.space.shuttle/archive/sci-space-shuttle-9-aug-1994-62.txt,HTTP/1.0,404,-
92,corp-uu.infoseek.com,01/Jul/1995:08:59:07-0400,GET,/shuttle/missions/sts-67/images/images.htm,HTTP/1.0,404,-
93,poppy.hensa.ac.uk,01/Jul/1995:09:25:31-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
94,poppy.hensa.ac.uk,01/Jul/1995:09:25:45-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
95,www-b2.proxy.aol.com,01/Jul/1995:09:32:05-0400,GET,/ksc/html,HTTP/1.0,404,-
96,202.248.44.130,01/Jul/1995:10:12:01-0400,GET,/shuttle/missions/sts-XX/sts-XX-press-kit.txt,HTTP/1.0,404,-
97,ix-akr-oh2-10.ix.netcom.com,01/Jul/1995:10:24:11-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
98,ix-akr-oh2-10.ix.netcom.com,01/Jul/1995:10:24:22-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
99,soleil.acomp.usf.edu,01/Jul/1995:10:31:58-0400,GET,/mercury-logo.gif,HTTP/1.0,404,-
100,soleil.acomp.usf.edu,01/Jul/1995:10:33:11-0400,GET,/mercury-logo.gif,HTTP/1.0,404,-
101,soleil.acomp.usf.edu,01/Jul/1995:10:33:17-0400,GET,/lc39a.gif,HTTP/1.0,404,-
